"","Asignatura","Profesor","Item_1","Item_2","Item_3","Item_4","Item_5","Item_6","Item_7","Item_8","Item_9","Item_10"
"284",8,1,6,9,5,6,3,7,7,8,7,6
"285",8,1,4,8,7,9,5,10,7,10,10,7
"286",8,1,2,1,4,5,1,10,7,4,1,1
"287",8,1,4,3,9,10,6,3,3,2,3,4
"288",8,1,9,9,9,9,9,9,9,9,9,9
"289",8,1,8,9,6,6,7.5,7,8,9,7,7.5
"290",8,1,6,6,6,5,2,8,7,9,8,2
"291",8,1,8,9,8,8,7,9,8,7,7,8
"292",8,1,8,8,8,8,8,8,8,8,8,8
"293",8,1,7,10,7,6,9,8,9,9,7,8
"294",8,1,8,7,8,9,7,10,9,8,9,9
"295",8,1,10,2,2,10,10,10,6,5,10,6
"296",8,1,8,9,10,8,7,8,7,7,9,8
"297",8,1,8,8,8,10,8,7,9,9,7,10
"298",8,1,6,7,7,8,8,9,9,10,9,8
"299",8,1,5,8,5,8,7,7,7,6,2,5
"300",8,1,7,8,8,10,7,9,9,10,7,8
"301",8,1,6,9,7,9,6,7,9,8,6,6
"302",10,3,10,9,9,7,8,9,9,8,10,9
"303",10,3,10,9,10,7,10,10,10,7,5,10
"304",10,3,7,8,7,7,7,6,7,8,8,8
"305",10,3,7,8,9,6,6,9,8,7,8,8
"306",10,3,8,6,7,6,7,7,6,6,7,9
"307",10,3,8,8,6,5,8,8,8,7,6,7
"308",10,3,7,7,7,6,6,8,8,7,9,7
"309",10,3,9,9,9,8,8,9,9,9,9,10
"310",10,3,8,7,8,6,9,10,9,7,6,8
"311",10,3,10,10,9,9,10,9,10,5,10,9
"312",10,3,9,8,9,7,9,10,8,7,10,9
"313",10,3,7,4,3,6,7,10,7,6,4,7
"314",10,3,7,4,4,5,6,5,8,9,3,5
"315",10,3,10,8,8,7,8,9,9,9,8,9
"316",10,3,7,7,8,7,8,6,7,6,9,8
"317",10,3,10,10,10,8,8,8,10,9,10,10
"318",10,3,8,5,9,3,7,9,3,5,10,7
"319",10,3,10,10,7,5,9,8,7,7,8,9
"320",10,3,9,8,8,9,9,9,8,8,9,9
"321",10,3,10,10,10,8,10,10,8,8,10,10
"322",10,3,8,9,10,8,9,10,9,8,10,9
"323",10,3,7,5,5,6,6,6,7,7,7,8
"324",10,3,8,10,8,9,9,8,8,7,9,8
"325",10,3,3,4,4,3,5,5,4,3,6,5
"326",10,3,10,8,8,8,9,9,7,6,9,8
"327",10,3,8,9,8,8,8,8,9,5,9,9
"328",10,3,9,7,9,8,9,9,10,8,7,9
"329",10,3,10,9,10,10,5,10,5,2,7,9
"330",10,3,7,7,6,8,6,6,4,6,7,8
"331",10,3,7,3,7,8,7,9,6,3,3,5
"332",10,3,7,9,10,5,7,9,9,6,7,8
"333",10,3,10,10,9,10,7,10,10,10,7,9
"334",10,3,10,9,10,8,8,10,9,8,9,9
"335",10,3,9,10,7,7,8,10,8,9,9,9
"336",10,3,9,9,9,8,8,10,9,10,10,9
"337",10,3,9,7,7,7,7,9,9,7,9,8
"338",10,3,8,8,7,8,6,8,7,1,6,8
"339",10,3,5,4,6,5,4,5,7,1,7,8
"340",10,3,7,7,6,6,7,8,7,6,7,7
"341",10,3,7,7,8,8,8,7,8,8,8,7
"342",11,7,5,5,7,6,6,7,7,8,7,6
"343",11,7,7,7,8,7,8,9,8,7,6,8
"344",11,7,6,7,7,5,7,7,8,6,5,7
"345",11,7,4,5,6,5,7,6,5,8,6,5
"346",11,7,7,8,5,6,5,8,6,5,8,7
"347",11,7,3,2,3,1,2,6,4,2,2,4
"348",11,7,2,1,3,3,3,7,1,1,3,3
"349",11,7,1,1,2,2,1,1,1,1,2,2
"350",11,7,1,2,2,3,1,2,2,1,2,2
"351",11,7,3,4,5,5,4,7,7,8,5,6
"352",11,7,8,9,7,8,7,9,9,8,9,7
"353",11,7,7,8,8,8,7,8,8,8,7,7
"354",11,7,6,5,3,5,7,9,6,4,3,5
"355",11,7,5,5,5,6,6,6,4,4,4,1
"356",11,7,7,7,7,7,7,7,7,3,7,7
"357",11,7,9,8,7,8,5,10,10,4,5,7
"358",11,7,4,1,1,1,10,10,10,8,10,5
"359",11,7,6,7,5,5,6,7,5,6,7,8
"360",11,7,6,5,5,6,7,10,7,7,5,8
"361",11,7,6,3,4,4,8,8,10,7,7,7
"362",11,7,6,7,6,8,6,10,7,8,6,7
"363",11,7,7,5,6,6,7,9,6,8,8,7
"364",11,7,7,8,7,10,7,10,10,5,8,8
"365",11,7,9,7,7,9,8,7,7,9,8,8
"366",11,7,8,7,9,7,8,9,6,8,9,8
"367",11,7,10,8,9,9,10,8,9,8,10,9
"368",11,7,10,10,9,10,9,9,10,10,10,10
"369",11,7,6,7,5,7,9,10,7,4,5,4
"370",11,7,4,4,4,3,5,5,5,3,3,4
"371",11,7,7,5,7,7,6,10,8,9,7,8
"372",11,7,6,5,3,4,4,8,7,4,3,4
"373",11,7,4,3,9,6,7,6,8,9,7,8
"374",11,7,7,6,5,6,5,8,8,6,7,6
"375",11,7,6,4,5,7,6,8,5,6,6,6
"376",11,7,8,8,9,7,9,9,8,7,8,8
"377",11,7,8,6,7,6,8,9,8,9,8,8
"378",11,7,6,5,6,6,7,10,8,6,5,7
"379",11,7,6,4,4,4,5,5,6,7,2,4
"380",11,7,5,5,5,4,5,8,7,7,4,4
"381",11,7,1,2,1,5,1,8,3,3,4,2
"382",11,7,5,2,2,5,6,5,8,8,8,5
"383",7,23,8,8,8,8,8,8,8,8,8,8
"384",7,23,10,8,10,7,10,10,10,9,10,9
"385",7,23,8,8,8,8,8,8,8,8,8,8
"386",7,23,9,8,9,8,9,8,9,8,8,9
"387",7,23,9,4,8,7,6,1,7,4,6,6
"388",7,23,9,9,10,9,9,8,9,8,10,10
"389",7,23,7,7,8,6,6,6,9,7,7,7
"390",7,23,10,10,10,10,7,3,10,5,10,9
"391",7,23,8,8,8,7,8,3,8,7,8,8
"392",7,23,8,7,7,7,8,2,8,7,7,7
"393",7,23,7,6,8,6,7,1,7,6,7,8
"394",7,23,8,8,7,7,8,5,8,7,8,9
"395",7,23,6,1,7,5,5,7,8,5,8,6
"396",7,23,9,5,9,6,8,10,8,7,9,8
"397",7,23,8,7,9,8,8,6,8,7,9,8
"398",7,23,7,6,5,6,7,1,7,6,5,8
"399",7,23,6,4,6,4,6,1,7,5,7,4
"400",7,23,10,10,9,9,7,4,7,5,10,9
"401",7,23,7,5,6,4,7,1,5,5,6,6
"402",7,23,8,7,10,10,9,4,10,5,10,8
"403",7,23,9,9,10,8,9,6,8,7,9,8
"404",7,23,6,8,8,6,9,2,8,6,8,6
"405",7,23,10,9,9,8,9,6,8,9,10,9
"406",7,23,5,3,4,5,5,2,7,4,5,7
"407",7,23,9,4,8,3,7,5,2,5,9,7
"408",7,23,8,9,8,8,5,5,9,6,7,7
"409",7,23,9,8,7,8,8,7,8,8,8,7
"410",7,23,8,2,6,4,1,10,8,8,10,4
"411",7,23,8,7,8,7,5,7,7,5,8,8
"412",7,23,8,7,8,8,7,7,7,7,8,8
"413",7,23,8,7,6,8,8,6,7,5,7,8
"414",7,23,9,8,10,9,9,10,9,9,10,9
"415",7,23,5,4,4,3,4,1,1,2,2,2
"416",9,6,5,3,4,4,6,4,6,8,5,7
"417",9,6,8,9,8,7,8,7,9,9,7,8
"418",9,6,7,8,8,9,7,9,9,9,8,8
"419",9,6,9,9,8,9,7,10,10,8,9,9
"420",9,6,8,6,6,7,10,10,7,7,10,7
"421",9,6,9,5,8,8,7,9,10,10,8,9
"422",9,6,7,7,8,8,7,9,8,7,7,8
"423",9,6,9,10,10,10,10,10,10,10,10,9
"424",9,6,10,10,9,10,10,10,10,10,10,10
"425",9,6,8,7,8,9,8,7,10,10,7,8
"426",9,6,8,7,8,9,9,9,9,10,9,9
"427",9,6,8,7,7,9,10,10,10,10,9,9
"428",9,6,2,3,2,6,4,3,7,6,1,4
"429",9,6,9,7,7,9,8,10,10,10,9,10
"430",9,6,6,7,7,8,6,6,9,8,8,7
"431",9,6,6,6,6,6,6,6,6,6,6,6
"432",9,6,8,8,7,8,8,10,10,9,10,9
"433",9,6,8,8,9,9,8,8,7,8,7,8
"434",9,6,3,1,3,1,2,3,4,4,2,3
"435",9,6,3,4,4,4,5,5,4,5,4,6
"436",9,6,10,10,10,10,7,9,10,9,10,10
"437",9,6,8,8,8,8,9,10,10,10,10,9
"438",9,6,10,9,9,9,8,9,8,9,9,9
"439",9,6,4,5,6,5,5,4,5,6,6,5
"440",9,6,9,9,9,10,10,10,10,10,10,10
"441",9,6,10,10,10,10,10,10,10,10,10,10
"442",9,6,7,8,6,9,8,8,6,9,8,9
"443",9,6,8,7,7,6,6,7,8,6,9,7
"444",9,6,10,7,9,9,5,10,10,10,10,9
"445",9,6,5,6,7,8,9,8,6,5,4,6
"446",9,6,9,10,10,10,9,8,10,9,8,10
"447",9,6,7,7,9,4,8,8,9,9,6,8
"448",9,6,6,2,2,9,9,5,10,10,10,10
"449",9,6,10,6,8,10,10,10,10,10,9,10
"450",9,6,9,5,8,10,9,10,10,10,9,10
"451",14,9,8,8,8,8,8,8,8,8,8,10
"452",14,9,9,9,9,8,7,9,8,8,9,9
"453",14,9,10,10,10,10,10,10,10,10,10,10
"454",14,9,8,8,8,9,8,10,9,10,10,9
"455",14,9,9,8,8,9,8,9,7,8,9,8
"456",14,9,2,3,3,3,1,2,4,3,1,2
"457",14,9,9,8,6,9,6,10,9,5,6,7
"458",14,9,7,9,8,7,7,7,6,7,8,8
"459",14,9,8,9,10,10,10,9,9,7,10,10
"460",14,9,7,8,7,6,8,6,6,5,8,7
"461",14,9,3,3,2,2,3,4,3,4,4,3
"462",14,9,9,9,9,9,9,9,9,9,9,9
"463",14,9,2,3,2,2,2,2,2,2,2,2
"464",14,9,3,2,4,3,4,6,5,6,5,4
"465",14,9,9,9,7,9,9,9,8,9,10,9
"466",13,2,8,9,8,9,7,6,9,9,9,8
"467",13,2,8,8,7,7,2,8,9,5,8,7
"468",13,2,9,9,8,9,8,4,8,9,9,8
"469",13,2,10,10,10,10,10,10,10,10,10,10
"470",13,2,9,8,9,9,8,8,9,10,8,9
"471",13,2,5,5,5,7,7,7,7,7,7,9
"472",13,2,6,7,7,7,5,8,7,6,5,6
"473",13,2,7,7,7,6,7,7,9,9,8,7
"474",13,2,9,8,9,10,9,6,10,9,10,9
"475",13,2,6,5,8,6,5,7,8,9,7,7
"476",13,2,9,9,10,9,7,6,9,8,10,9
"477",13,2,4,6,3,4,3,6,7,6,4,5
"478",13,2,9,8,8,8,9,9,9,9,9,9
"479",13,2,9,10,9,10,10,6,10,8,10,10
"480",12,8,10,10,10,10,10,10,10,10,10,10
"481",12,8,9,5,8,9,8,9,8,7,7,9
"482",12,8,9,8,9,10,9,8,9,9,9,10
"483",12,8,10,10,10,10,10,10,10,10,10,10
"484",12,8,9,10,9,10,9,10,9,10,9,10
"485",12,8,10,9,10,10,10,10,10,10,10,10
"486",12,8,7,6,7,6,9,9,8,7,6,6
"487",12,8,8,7,7,8,9,8,8,7,7,9
"488",12,8,9,8,8,9,8,9,9,8,9,9
"489",12,8,8,8,10,10,10,10,10,9,10,7
"490",12,8,4,7,6,6,7,7,8,6,7,6
"491",12,8,4,6,5,5,6,10,10,1,5,5
"492",16,13,7,5,6,7,7,8,7,8,7,7
"493",16,13,4,5,4,5,5,9,6,5,5,5
"494",16,13,6,4,4,1,1,1,4,4,5,1
"495",16,13,8,8,8,8,5,8,8,7,9,9
"496",16,13,6,4,6,6,7,4,5,5,4,5
"497",16,13,5,2,1,3,4,8,7,7,2,3
"498",16,13,7,5,5,5,4,10,5,10,5,5
"499",16,13,6,6,5,5,6,8,8,6,6,7
"500",16,13,6,5,6,7,6,7,6,7,6,6
"501",16,13,8,7,9,8,7,8,9,8,7,9
"502",16,13,10,9,9,9,9,9,9,4,8,9
"503",16,13,9,7,8,5,6,10,8,8,6,8
"504",16,13,4,4,5,4,4,9,5,9,6,5
"505",16,13,7,6,6,7,8,9,8,8,7,8
"506",16,13,5,3,4,3,8,8,3,5,5,3
"507",15,11,9,8,8,7,6,3,8,6,9,8
"508",15,11,10,10,10,10,10,10,10,10,10,10
"509",15,11,9,7,8,8,9,6,9,9,10,9
"510",15,11,9,4,9,10,8,1,10,5,10,8
"511",15,11,6,6,6,6,9,4,8,4,9,7
"512",15,11,3,2,3,4,3,1,4,3,2,3
"513",15,11,5,4,5,6,5,1,7,5,5,5
